Lokasi	count
Gading Serpong, Tangerang	934
BSD, Tangerang	698
BSD City, Tangerang	400
Alam Sutera, Tangerang	350
Lippo Karawaci, Tangerang	172
Cikupa Citra Raya, Tangerang	129
Cipondoh, Tangerang	119
Karawaci, Tangerang	97
Poris, Tangerang	85
Tangerang, Tangerang	84
Suvarna Sutera, Tangerang	82
Graha Raya, Tangerang	73
BSD Delatinos, Tangerang	71
Gading Serpong Pondok Hijau Golf, Tangerang	70
Banjar Wijaya, Tangerang	65
Modernland, Tangerang	64
Cisauk, Tangerang	64
Cikupa, Tangerang	63
Pondok Cabe, Tangerang	60
BSD Griya Loka, Tangerang	54
BSD De Park, Tangerang	51
BSD The Icon, Tangerang	47
BSD Nusaloka, Tangerang	44
Rempoa, Tangerang	43
BSD Puspita Loka, Tangerang	43
Tangerang Kota, Tangerang	42
Metro Permata, Tangerang	40
Pagedangan, Tangerang	39
BSD Foresta, Tangerang	37
Ciledug, Tangerang	35
Karang Tengah, Tangerang	32
BSD Vanya Park, Tangerang	32
BSD Eminent, Tangerang	31
BSD Kencana Loka, Tangerang	30
Legok, Tangerang	30
BSD The Green, Tangerang	28
Kelapa Dua, Tangerang	27
BSD Green Wich, Tangerang	26
BSD Avani, Tangerang	23
Gading Serpong The Spring, Tangerang	23
Gading Serpong Scientia Garden, Tangerang	21
Larangan, Tangerang	20
BSD Giri Loka, Tangerang	20
Pasar Kemis, Tangerang	19
Ciater, Tangerang	19
Curug, Tangerang	18
Pondok Ranji, Tangerang	16
BSD Bukit Golf, Tangerang	15
Sepatan, Tangerang	14
Gading Serpong Samara Village, Tangerang	14
BSD The Savia, Tangerang	13
BSD Residence One, Tangerang	13
Cireundeu, Tangerang	12
Jurangmangu, Tangerang	11
Cipadu, Tangerang	10
Pinang, Tangerang	10
Batu Ceper, Tangerang	10
BSD Anggrek Loka, Tangerang	10
Sindang Jaya, Tangerang	10
Gading Serpong IL Lago, Tangerang	8
Teluk Naga, Tangerang	8
Jurumudi, Tangerang	8
Kreo, Tangerang	8
Jelupang, Tangerang	8
Jombang, Tangerang	7
Bitung, Tangerang	7
Gading Serpong Elista Village, Tangerang	7
Dadap, Tangerang	7
Sektor 7A/B-Gading Serpong, Tangerang	7
Sutera Sitara Alam Sutera, Tangerang	7
Summarecon Serpong, Tangerang	6
Taman Royal, Tangerang	6
Balaraja, Tangerang	6
BSD Taman Giri Loka, Tangerang	6
Tigaraksa, Tangerang	6
Gading Serpong Serenade Lake, Tangerang	6
Serua, Tangerang	6
BSD Pavillion Residence, Tangerang	6
BSD Green Cove, Tangerang	6
Cikokol, Tangerang	5
Kunciran, Tangerang	5
Periuk, Tangerang	5
Bojong Nangka, Tangerang	5
Alam Sutera 2, Tangerang	4
Duta Garden, Tangerang	4
Gading Serpong Cluster Bohemia, Tangerang	4
Rajeg, Tangerang	4
BSD Sevilla, Tangerang	4
Petir, Tangerang	4
Cimone, Tangerang	4
Pondok Betung, Tangerang	3
BSD Alegria, Tangerang	3
Sangiang Jaya, Tangerang	3
Pondok Benda, Tangerang	3
Daan Mogot, Tangerang	3
Sutera Jingga Alam Sutera, Tangerang	3
Cibodas, Tangerang	3
BSD Neo Catalonia, Tangerang	3
Benda, Tangerang	3
BSD Provance Parkland, Tangerang	3
Cihuni, Tangerang	3
Citra Maja Raya, Tangerang	3
Panongan, Tangerang	3
Kosambi, Tangerang	2
Sektor 1E-Gading Serpong, Tangerang	2
Permata Medang, Tangerang	2
Sutera Buana Alam Sutera, Tangerang	2
BSD Taman Crysant, Tangerang	2
Sutera Onix Alam Sutera, Tangerang	2
Pondok Jagung, Tangerang	2
BSD Telaga Golf, Tangerang	2
Gading Serpong Omaha Village, Tangerang	2
Jayanti, Tangerang	1
Tanah Tinggi, Tangerang	1
Gading Serpong La Bella Village, Tangerang	1
BSD Graha Raya, Tangerang	1
Kresek, Tangerang	1
Gading Serpong Virginia Village, Tangerang	1
Gading Serpong Cluster Oleaster, Tangerang	1
Gading Serpong Cluster Michelia, Tangerang	1
Bintaro, Tangerang Selatan	1
Meruya, Jakarta Barat	1
Cukang Galih, Tangerang	1
Sektor 8-Gading Serpong, Tangerang	1
Jatake, Tangerang	1
Gading Serpong Karelia Village, Tangerang	1
BSD Castilla, Tangerang	1
Sudimara, Tangerang	1
Kampung Utan, Tangerang	1
Royal Serpong Village, Tangerang	1
Gading Serpong Andalucia, Tangerang	1
Pondok Pucung, Tangerang	1
Gading Serpong Cluster IL Rosa, Tangerang	1
Lippo Karawaci, Lippo Karawaci	1
Lengkong Kulon, Tangerang	1
Pesanggrahan, Tangerang	1
Sektor 1C-Gading Serpong, Tangerang	1
BSD Ingenia, Tangerang	1
Sektor 1G-Gading Serpong, Tangerang	1
Solear, Tangerang	1
BSD Vermont, Tangerang	1
Mauk, Tangerang	1
Kadu, Tangerang	1
Suradita, Tangerang	1
Kedaung, Tangerang	1
BSD Duta Bintaro, Tangerang	1
